arbol_id,altitud,altura,danio,frut_prod_2009,frut_prod_2010,frut_prod_2011,nfrutos,nsemillas,germinadas,sembradas
1,1379,238,100,0,1,0,8,16.5,6,120
2,1389,340,100,0,0,0,NA,NA,NA,120
3,1341,170,100,0,0,0,NA,NA,NA,120
4,1341,164,100,0,0,0,NA,NA,NA,120
6,1341,164,50,0,1,0,3,18.3333333333333,85,120
7,1341,185,10,0,0,0,NA,NA,NA,120
8,1370,240,10,0,1,0,1,33,NA,120
9,1370,210,75,0,0,0,NA,NA,NA,120
10,1389,260,30,0,0,0,NA,NA,NA,120
11,1388,250,30,0,0,0,NA,NA,NA,120
12,1388,200,65,0,0,0,NA,NA,NA,120
13,1389,270,25,0,0,0,NA,NA,NA,120
14,1391,240,70,0,0,0,NA,NA,NA,120
15,1399,330,60,0,1,0,31,14.1290322580645,12,120
16,1389,280,20,0,0,0,NA,NA,NA,120
17,1399,270,35,0,1,0,13,16.3076923076923,0,120
18,1406,400,10,1,1,0,64,15.9375,102,120
19,1395,130,30,0,1,0,2,6.5,60,120
20,1388,430,70,0,0,0,NA,NA,NA,120
21,1299,340,100,0,0,0,NA,NA,NA,120
22,1302,260,100,0,0,0,NA,NA,NA,120
24,1305,300,100,0,0,1,NA,NA,NA,120
25,1303,250,100,0,0,1,NA,NA,NA,120
26,1311,220,70,0,1,0,7,6.85714285714286,6,120
27,1311,155,10,0,1,0,2,17,120,120
28,1312,120,35,0,1,0,2,21,NA,120
29,1310,300,15,0,0,0,NA,NA,NA,120
30,1308,250,65,0,0,1,NA,NA,NA,120
31,1319,370,40,0,1,0,5,8.8,28,120
32,1318,210,10,0,1,1,21,17.8,25,120
33,1334,180,65,0,1,0,17,8.23529411764706,NA,120
34,1315,120,5,0,0,0,NA,NA,NA,120
35,1314,210,40,0,0,1,NA,NA,NA,120
36,1322,450,55,0,1,1,384,21.234375,NA,120
37,1320,275,20,0,1,0,2,15,NA,120
38,1322,275,40,0,0,0,NA,NA,NA,120
39,1325,280,30,0,1,1,20,17.8,99,120
40,1326,320,65,0,1,0,60,10.1,86,120
41,1291,142,90,0,0,1,NA,NA,NA,120
42,1241,210,65,0,0,0,NA,NA,NA,120
43,1239,245,15,0,1,1,52,27.2884615384615,NA,120
44,1240,265,20,0,0,0,NA,NA,NA,120
45,1235,250,10,0,1,0,15,13.4,97,120
46,1242,165,35,0,0,0,NA,NA,NA,120
47,1232,190,65,0,0,1,NA,NA,NA,120
48,1234,220,35,0,0,0,NA,NA,NA,120
49,1235,200,45,0,0,0,NA,NA,NA,120
50,1237,230,65,0,0,0,NA,NA,NA,120
51,1233,260,95,0,0,0,NA,NA,NA,120
52,1231,200,100,0,0,0,NA,NA,NA,120
53,1235,285,65,0,0,1,NA,NA,NA,120
54,1240,245,85,0,1,0,56,16.452380952381,NA,120
55,1240,265,65,0,0,0,NA,NA,NA,120
56,1232,260,20,0,1,0,44,23.9772727272727,NA,120
57,1239,220,95,0,0,1,NA,NA,NA,120
58,1239,310,35,0,1,1,260,15.6769230769231,NA,120
59,1239,320,15,0,1,0,288,20.9444444444444,101,120
60,1241,270,40,0,1,1,69,18.8115942028986,5,120
61,1225,350,0,0,0,1,NA,NA,NA,120
62,1226,275,0,0,1,1,52,27.7115384615385,86,120
63,1231,265,0,0,0,1,NA,NA,NA,120
64,1219,310,0,0,1,1,88,21.25,75,120
65,1233,275,0,0,1,1,7,17.4285714285714,87,120
66,1308,280,0,0,0,1,NA,NA,NA,120
67,1309,320,0,0,0,1,NA,NA,NA,120
68,1308,225,0,0,0,1,NA,NA,NA,120
69,1314,225,0,0,0,1,NA,NA,NA,120
70,1307,195,0,0,0,0,NA,NA,NA,120
71,828,270,15,0,1,0,156,23.6923076923077,NA,120
72,842,215,10,1,0,0,NA,NA,NA,120
73,843,380,45,1,1,0,208,24.6153846153846,108,120
74,846,300,100,0,0,0,NA,NA,NA,120
75,846,320,100,0,0,0,NA,NA,NA,120
76,849,310,70,1,1,0,96,19.984375,8,120
77,849,220,40,0,1,0,80,21.4333333333333,117,120
79,849,200,15,0,1,0,79,21.8474576271186,107,120
80,850,210,5,0,0,0,NA,NA,NA,120
81,848,280,100,0,0,0,NA,NA,NA,120
82,852,220,30,0,0,0,NA,NA,NA,120
83,851,270,100,0,0,0,NA,NA,NA,120
84,854,115,35,0,0,0,NA,NA,NA,120
85,854,280,70,0,0,0,NA,NA,NA,120
86,852,310,70,0,1,0,159,14.7735849056604,119,120
87,853,360,60,0,1,0,2,28,120,120
88,853,280,40,0,1,0,31,15.1739130434783,117,120
89,853,180,20,0,0,0,NA,NA,NA,120
90,855,390,70,0,0,1,NA,NA,NA,120
91,993,380,100,0,1,0,88,17.7272727272727,115,120
92,984,230,100,0,0,0,NA,NA,NA,120
93,984,185,100,0,0,0,NA,NA,NA,120
94,986,360,100,0,0,0,NA,NA,NA,120
95,986,240,100,0,0,0,NA,NA,NA,120
96,986,210,100,0,0,1,NA,NA,NA,120
97,985,310,70,0,1,1,100,23.42,116,120
98,963,170,100,0,0,1,NA,NA,NA,120
99,965,200,100,0,1,0,130,15.6769230769231,NA,120
101,965,300,100,0,0,1,NA,NA,NA,120
102,965,310,100,0,0,0,NA,NA,NA,120
103,1508,135,90,0,0,0,NA,NA,NA,120
105,1521,117,65,0,0,0,NA,NA,NA,120
106,1522,105,100,0,0,0,NA,NA,NA,120
107,1520,100,100,0,0,0,NA,NA,NA,120
109,1508,270,10,0,0,0,NA,NA,NA,120
110,1509,185,80,0,0,0,NA,NA,NA,120
112,1512,255,45,0,0,0,NA,NA,NA,120
113,1523,145,100,0,0,0,NA,NA,NA,120
114,1527,160,35,0,0,0,NA,NA,NA,120
115,1529,167,40,0,0,0,NA,NA,NA,120
116,1531,150,20,0,0,0,NA,NA,NA,120
117,1535,310,20,0,1,0,11,17.4545454545455,NA,120
118,1533,335,10,0,0,0,NA,NA,NA,120
119,1538,220,70,0,0,0,NA,NA,NA,120
120,1541,260,35,0,0,0,NA,NA,NA,120
121,1541,210,30,0,0,0,NA,NA,NA,120
122,1540,250,70,0,0,0,NA,NA,NA,120
123,1619,210,45,0,0,0,NA,NA,NA,120
124,1613,195,20,0,0,0,NA,NA,NA,120
125,1613,155,60,0,0,0,NA,NA,NA,120
126,1613,170,100,0,0,0,NA,NA,NA,120
127,1612,150,100,0,0,0,NA,NA,NA,120
128,1617,250,70,0,0,0,NA,NA,NA,120
129,1609,110,45,0,0,0,NA,NA,NA,120
130,1611,190,45,0,0,0,NA,NA,NA,120
131,1611,150,20,0,0,0,NA,NA,NA,120
132,1615,210,15,0,0,0,NA,NA,NA,120
133,1613,95,85,0,0,0,NA,NA,NA,120
134,1608,190,90,0,0,0,NA,NA,NA,120
135,1609,230,60,0,0,0,NA,NA,NA,120
136,1608,115,100,0,0,0,NA,NA,NA,120
137,1606,260,70,0,0,0,NA,NA,NA,120
139,1611,165,15,0,0,0,NA,NA,NA,120
140,1610,240,30,0,0,1,NA,NA,NA,120
141,1612,160,35,0,0,1,NA,NA,NA,120
142,1610,260,20,0,1,1,23,1.65217391304348,NA,120
143,1458,285,65,0,0,0,NA,NA,NA,120
144,1457,225,85,0,0,0,NA,NA,NA,120
145,1455,225,45,0,0,1,NA,NA,NA,120
146,1455,205,10,0,1,1,23,5.65217391304348,79,120
147,1446,220,15,0,1,0,4,20.5,119,120
148,1444,230,35,0,0,0,NA,NA,NA,120
149,1444,235,70,0,1,0,1,13,NA,120
150,1438,210,90,0,1,0,1,14,102,120
151,1419,253,100,0,0,1,NA,NA,NA,120
152,1416,264,90,0,0,0,NA,NA,NA,120
153,1417,152,100,0,0,0,NA,NA,NA,120
154,1420,240,35,0,0,0,NA,NA,NA,120
155,1420,200,15,0,0,1,NA,NA,NA,120
156,1417,194,20,0,0,1,NA,NA,NA,120
157,1416,325,60,0,0,0,NA,NA,NA,120
158,1407,240,60,0,0,0,NA,NA,NA,120
159,1413,210,15,0,1,0,8,19.625,80,120
160,1413,233,70,0,0,1,NA,NA,NA,120
162,1421,265,40,0,1,0,12,17.25,38,120
163,1050,175,100,0,0,0,NA,NA,NA,120
164,1053,240,70,0,0,0,NA,NA,NA,120
165,1054,225,60,0,0,1,NA,NA,NA,120
166,1057,170,65,0,1,1,5,14,35,120
167,1056,210,70,0,1,0,66,16.2272727272727,NA,120
168,1056,120,90,0,0,1,NA,NA,NA,120
169,1058,180,100,0,0,1,NA,NA,NA,120
170,1058,210,40,1,1,1,92,27.7608695652174,NA,120
171,1058,200,65,0,1,0,142,31.2183098591549,96,120
173,1057,235,100,0,0,0,NA,NA,NA,120
174,1056,165,85,0,0,0,NA,NA,NA,120
223,1349,170,0,0,0,1,NA,NA,NA,120
224,1347,250,0,0,1,0,25,13.52,NA,120
226,1347,210,0,1,1,0,1,14,120,120
228,1400,166,0,0,1,1,9,18,75,120
229,1403,230,0,1,1,1,63,16.1904761904762,85,120
230,1403,158,0,0,1,1,47,8.87234042553192,105,120
231,1404,182,0,0,1,1,1,25,69,120
232,1408,240,0,1,0,1,NA,NA,NA,120
244,1025,225,0,0,1,0,22,13.3181818181818,97,120
247,1020,200,0,0,0,0,NA,NA,NA,120
254,1029,227,0,0,0,0,NA,NA,NA,120
