"plot","surv","height","height2","dieback","manag","fire","elev","pforest"
"101",1,352,370,13,"Ranching","Unburned plots",1537,5
"101",1,350,405,3,"Ranching","Unburned plots",1537,5
"102",1,280,390,15,"Ranching","Unburned plots",1524,10
"102",1,605,424,34,"Ranching","Unburned plots",1524,10
"102",0,657,NA,NA,"Ranching","Unburned plots",1524,10
"103",1,290,199,70,"Ranching","Burned plots",1698,15
"103",1,320,287,65,"Ranching","Burned plots",1698,15
"104",1,276,280,3,"Ranching","Unburned plots",1706,10
"105",1,214,215,2,"Ranching","Unburned plots",1711,15
"105",1,350,398,6,"Ranching","Unburned plots",1711,15
"105",1,300,432,3,"Ranching","Unburned plots",1711,15
"105",1,465,470,4,"Ranching","Unburned plots",1711,15
"106",1,270,242,7,"Ranching","Unburned plots",1606,10
"106",1,254,314,10,"Ranching","Unburned plots",1606,10
"106",1,315,328,35,"Ranching","Unburned plots",1606,10
"106",1,273,NA,NA,"Ranching","Unburned plots",1606,10
"106",1,325,NA,NA,"Ranching","Unburned plots",1606,10
"107",1,236,40,90,"Ranching","Unburned plots",1702,15
"107",1,226,279,7,"Ranching","Unburned plots",1702,15
"107",1,270,313,30,"Ranching","Unburned plots",1702,15
"107",1,270,341,40,"Ranching","Unburned plots",1702,15
"107",1,210,NA,NA,"Ranching","Unburned plots",1702,15
"108",1,248,241,35,"Ranching","Unburned plots",1729,15
"108",1,283,293,7,"Ranching","Unburned plots",1729,15
"108",1,287,317,9,"Ranching","Unburned plots",1729,15
"108",1,238,321,20,"Ranching","Unburned plots",1729,15
"108",1,282,372,10,"Ranching","Unburned plots",1729,15
"108",1,318,428,3,"Ranching","Unburned plots",1729,15
"108",1,248,NA,NA,"Ranching","Unburned plots",1729,15
"108",1,263,NA,NA,"Ranching","Unburned plots",1729,15
"108",1,365,NA,NA,"Ranching","Unburned plots",1729,15
"109",1,322,210,17,"Ranching","Unburned plots",1710,10
"109",1,234,320,1,"Ranching","Unburned plots",1710,10
"110",1,223,336,8,"Ranching","Unburned plots",2176,5
"110",1,268,361,47,"Ranching","Unburned plots",2176,5
"111",1,244,359,7,"Ranching","Unburned plots",2153,15
"111",1,285,387,7,"Ranching","Unburned plots",2153,15
"111",1,320,394,6,"Ranching","Unburned plots",2153,15
"111",1,354,416,35,"Ranching","Unburned plots",2153,15
"111",1,647,592,50,"Ranching","Unburned plots",2153,15
"111",0,363,NA,NA,"Ranching","Unburned plots",2153,15
"111",1,360,NA,NA,"Ranching","Unburned plots",2153,15
"112",1,330,347,1,"Ranching","Unburned plots",1813,10
"112",1,270,477,5,"Ranching","Unburned plots",1813,10
"113",1,350,387,2,"Ranching","Unburned plots",1882,25
"113",1,252,433,10,"Ranching","Unburned plots",1882,25
"113",1,570,480,3,"Ranching","Unburned plots",1882,25
"113",1,267,NA,NA,"Ranching","Unburned plots",1882,25
"113",1,400,NA,NA,"Ranching","Unburned plots",1882,25
"114",1,341,472,9,"Ranching","Unburned plots",1996,14
"114",1,420,510,20,"Ranching","Unburned plots",1996,14
"114",1,320,510,3,"Ranching","Unburned plots",1996,14
"114",1,1000,678,1,"Ranching","Unburned plots",1996,14
"114",1,700,680,5,"Ranching","Unburned plots",1996,14
"114",1,600,696,3,"Ranching","Unburned plots",1996,14
"114",1,700,770,5,"Ranching","Unburned plots",1996,14
"114",1,248,NA,NA,"Ranching","Unburned plots",1996,14
"115",1,220,310,2,"Ranching","Unburned plots",1877,5
"115",1,450,355,4,"Ranching","Unburned plots",1877,5
"115",1,350,381,10,"Ranching","Unburned plots",1877,5
"115",1,230,390,1,"Ranching","Unburned plots",1877,5
"115",1,205,390,5,"Ranching","Unburned plots",1877,5
"115",1,255,395,10,"Ranching","Unburned plots",1877,5
"115",1,350,420,15,"Ranching","Unburned plots",1877,5
"115",1,400,450,10,"Ranching","Unburned plots",1877,5
"115",1,235,460,1,"Ranching","Unburned plots",1877,5
