punto,pH,temp,prof,veg_PA,veg_G,veg_A,detec,cant
A1,7.3,13.6,12,1,0,0,0,0
A2,7.2,19.3,4,1,0,0,0,0
A3,7.3,22.6,16,1,1,0,0,0
A4,7.6,16.8,5,1,0,0,0,0
A5,7.6,16,4,1,0,0,0,0
A6,7.6,15.6,6,1,0,0,0,0
A7,7.2,28,1.5,1,1,0,1,23
A8,7.5,20,4.5,1,1,0,0,0
A9,7.3,11.9,2,1,1,0,0,0
A10,8,25.1,14,0,1,0,0,0
A11,7.67,25.5,16,0,1,0,1,10
A12,7.5,35.7,9,0,1,0,1,8
A13,7.9,36,5,0,1,0,1,2
A14,7.8,32,6,0,1,0,1,2
A15,7.7,28,2,0,1,0,0,0
A16,8.3,33,15,0,1,0,0,0
A17,8.26,32,9,0,1,0,1,1
A18,9.65,19,0.5,1,0,0,0,0
A19,9.54,15.5,14,1,0,1,1,2
A20,7.8,12.8,2,0,1,0,0,0
A21,9.3,20.5,1,1,0,0,0,0
A22,8.3,20.6,11,1,1,0,0,0
A23,9.67,25,4.5,1,1,0,1,2
A24,7.65,26.3,2,0,0,1,1,5
A25,7.8,18,14,0,0,1,0,0
A26,7.2,25,2,0,0,1,1,1
A27,9.2,20,7,1,0,1,0,0
A28,7.92,15,3,1,1,1,1,1
A29,8.9,17.3,0.1,1,1,0,1,1
A30,9.8,27.4,5,0,0,1,0,0
A31,9,15.2,9.5,1,1,0,0,0
A32,8.5,15.8,19,1,0,0,0,0
A33,8.54,18.1,16,1,0,0,0,0
A34,8.33,17.6,30,1,0,0,0,0
A35,10.5,36,0,1,1,0,1,142
A36,8.4,18.5,6,1,0,0,0,0
A37,9.23,16.9,5,1,1,0,0,0
A38,8.62,15.9,16,1,0,0,0,0
A39,8.6,15.6,2.5,1,1,0,0,0
A40,8.6,20.1,5.5,1,1,0,0,0
A41,8.62,21.5,13,1,1,0,0,0
A42,8.45,20.5,13,1,1,0,0,0
A43,8.3,21.2,6,1,1,0,0,0
A44,8.4,20.7,4,0,0,0,0,0
A45,8.26,21.5,7,1,0,0,0,0
A46,8.37,18.5,15,1,0,0,0,0
A47,8.42,17.7,15,0,0,0,0,0
A48,8.33,17.1,12,1,0,0,0,0
A49,7.9,18.5,11,1,1,0,0,0
A50,8.59,19.2,36,1,0,1,0,0
A51,8.38,20.1,17,1,0,0,0,0
A52,9.5,22.7,9,0,1,0,0,0
A53,9.63,24.5,5.5,0,1,0,1,11
A54,9.28,21.3,8,0,0,0,1,7
A55,9.5,30,6,0,1,0,1,5
A56,9.38,24,8,0,1,0,1,1
A57,8.99,26.5,6,1,0,0,1,6
A58,8.9,34.8,6,0,1,0,1,6
A59,8.92,24.1,20,0,0,0,0,0
A60,8.48,29.4,5,0,1,1,0,0
A61,9.1,27.7,4,0,1,0,0,0
A62,8.5,23,10,1,1,0,0,0
A63,8.45,27.1,10,1,1,1,0,0
A64,9.6,35,3.5,0,1,0,1,11
A65,9.44,26.6,5,0,1,0,1,8
A66,9.3,22.7,10,0,1,0,1,2
A67,9.08,22.2,21,1,0,0,0,0
A68,9.1,23.5,13,1,0,0,0,0
A69,8.7,21.5,12,0,1,0,1,2
A70,8.81,23.2,11,0,1,1,0,0
A71,8.66,21,10,1,0,0,0,0
A72,8.77,21.1,7,1,0,1,0,0
A73,8.4,18.8,0.2,0,1,0,0,0
A74,8.24,17.8,23,1,1,0,0,0
A75,7.46,17.2,0,1,1,0,0,0
A76,7.52,20,7,1,1,0,0,0
A77,7.7,21.9,0.2,0,1,0,1,37
A78,7.36,21.7,10,1,1,0,0,0
A79,7.72,16.5,10,1,1,0,0,0
A80,7.82,19.2,3,0,1,0,1,3
A81,6.95,25.4,0.5,0,1,0,0,0
