year,area_ha,fires,pp,temp,vpd,fwi
1999,9989.58704557115,21,109.011722941058,20.1616913094215,0.79616473350346,14.7043909090909
2000,1112.60665390835,8,195.149837780998,18.9152532881941,0.749069784092705,9.38284180327869
2001,21.417758502456,1,264.808829501204,18.138674591674,0.699730741035209,8.11015454545455
2002,7646.37555310013,12,205.536265244098,20.2478503844953,0.815100318239913,15.3567553719008
2003,358.447837725634,4,123.98947820623,19.5190716862655,0.761027958733539,11.5266561983471
2004,1686.19145918511,7,153.435477872815,19.8188017487166,0.78281515689719,11.7332893442623
2005,1277.27852632936,9,160.784030725433,19.6444535634748,0.788269231180245,10.5640958677686
2006,5933.93930779589,7,235.148209179159,19.4303181223631,0.782899226520989,9.23249752066116
2007,35.6009569775701,3,225.02317658575,18.7403089107176,0.735111768678695,10.9317082644628
2008,7403.35671114688,17,105.298012763793,21.2434594644849,0.85554194290917,16.7805565573771
2009,2787.82548480244,13,112.711662669967,21.0433658519383,0.82887699674707,16.2236760330579
2010,314.351324194752,3,191.029827778562,18.5973597201028,0.745910515595679,7.95846115702479
2011,1064.18404560315,5,195.896803922323,19.1405176154021,0.785844233424381,8.14298925619835
2012,4168.13557038448,10,191.260341194223,20.2354621104287,0.806679148339551,12.0455950819672
2013,139.708808915651,5,240.702880616218,18.7588112275212,0.74635098613765,8.76344710743802
2014,5263.92890742559,19,156.476539156974,19.4287954223892,0.781923513419936,15.0217842975207
2015,44578.0294016613,20,55.6188323651489,20.3582066999226,0.820301237908378,19.7834983471074
2016,10088.1928729027,28,96.6413357099805,20.8115302659195,0.890560729536683,15.6285442622951
2017,101.297152439628,2,198.819518002248,19.8893918069786,0.809429780972288,11.2170809917355
2018,451.448197759905,3,186.761888579697,20.1313822170358,0.829217726112769,12.2375462809917
2019,137.265325107237,7,110.034407954074,19.7509326523982,0.866368859081056,16.0405702479339
2020,653.194423572644,7,124.265314627922,19.8861575255511,0.823114278905544,13.3452762295082
2021,17143.8002423458,22,111.759755581488,20.3389573528595,0.859749965803635,15.2041809917355
2022,7235.80836732379,5,23.6897962324156,21.6186763442377,1.0008751704475,10.8514308333333
