year,vegetation_class,area_ha,area_ha_available
1999,Subalpine forest,1766.96842864666,800760.797027474
2000,Subalpine forest,216.796921982872,800760.797027474
2001,Subalpine forest,0,800760.797027474
2002,Subalpine forest,2361.46944624892,800760.797027474
2003,Subalpine forest,9.93957069319964,800760.797027474
2004,Subalpine forest,216.206835118367,800760.797027474
2005,Subalpine forest,0,800760.797027474
2006,Subalpine forest,0,800760.797027474
2007,Subalpine forest,0,800760.797027474
2008,Subalpine forest,1984.63438421045,800760.797027474
2009,Subalpine forest,96.2317442660779,800760.797027474
2010,Subalpine forest,0,800760.797027474
2011,Subalpine forest,0,800760.797027474
2012,Subalpine forest,86.7250236831471,800760.797027474
2013,Subalpine forest,31.2026991607674,800760.797027474
2014,Subalpine forest,160.999112497071,800760.797027474
2015,Subalpine forest,13102.7794676362,800760.797027474
2016,Subalpine forest,1791.67549875291,800760.797027474
2017,Subalpine forest,0,800760.797027474
2018,Subalpine forest,22.8894960549533,800760.797027474
2019,Subalpine forest,27.9943585334996,800760.797027474
2020,Subalpine forest,1.41351389787272,800760.797027474
2021,Subalpine forest,2248.3192379363,800760.797027474
2022,Subalpine forest,1571.53358279026,800760.797027474
1999,Wet forest,227.093229496096,321593.023658615
2000,Wet forest,0,321593.023658615
2001,Wet forest,0,321593.023658615
2002,Wet forest,2115.78673713415,321593.023658615
2003,Wet forest,0,321593.023658615
2004,Wet forest,0,321593.023658615
2005,Wet forest,0,321593.023658615
2006,Wet forest,0,321593.023658615
2007,Wet forest,0,321593.023658615
2008,Wet forest,376.685325292104,321593.023658615
2009,Wet forest,0,321593.023658615
2010,Wet forest,0,321593.023658615
2011,Wet forest,0,321593.023658615
2012,Wet forest,0,321593.023658615
2013,Wet forest,7.83001786367733,321593.023658615
2014,Wet forest,0,321593.023658615
2015,Wet forest,11426.389111269,321593.023658615
2016,Wet forest,447.941941847585,321593.023658615
2017,Wet forest,0,321593.023658615
2018,Wet forest,0,321593.023658615
2019,Wet forest,37.2969568401723,321593.023658615
2020,Wet forest,0,321593.023658615
2021,Wet forest,737.596630001229,321593.023658615
2022,Wet forest,2652.17175720194,321593.023658615
1999,Dry forest,213.173440596884,260568.48743792
2000,Dry forest,128.71050595948,260568.48743792
2001,Dry forest,0,260568.48743792
2002,Dry forest,1125.42910125509,260568.48743792
2003,Dry forest,0,260568.48743792
2004,Dry forest,252.780217802464,260568.48743792
2005,Dry forest,58.4245998872998,260568.48743792
2006,Dry forest,805.539763068217,260568.48743792
2007,Dry forest,23.2092569547019,260568.48743792
2008,Dry forest,321.081489614395,260568.48743792
2009,Dry forest,93.9139464478709,260568.48743792
2010,Dry forest,0,260568.48743792
2011,Dry forest,728.767815714936,260568.48743792
2012,Dry forest,3495.70908597785,260568.48743792
2013,Dry forest,59.8602491538212,260568.48743792
2014,Dry forest,1742.45359211808,260568.48743792
2015,Dry forest,6401.52086085879,260568.48743792
2016,Dry forest,454.303321939757,260568.48743792
2017,Dry forest,0,260568.48743792
2018,Dry forest,0,260568.48743792
2019,Dry forest,36.4365146490712,260568.48743792
2020,Dry forest,15.8285799767013,260568.48743792
2021,Dry forest,1974.93243822549,260568.48743792
2022,Dry forest,139.19448619887,260568.48743792
1999,Shrubland,3927.68842491581,437423.483393245
2000,Shrubland,645.999779149422,437423.483393245
2001,Shrubland,17.0233689489065,437423.483393245
2002,Shrubland,1129.91473639089,437423.483393245
2003,Shrubland,0,437423.483393245
2004,Shrubland,164.633581461605,437423.483393245
2005,Shrubland,682.566218443219,437423.483393245
2006,Shrubland,2142.99152796064,437423.483393245
2007,Shrubland,0,437423.483393245
2008,Shrubland,1888.66898909111,437423.483393245
2009,Shrubland,1217.27611027626,437423.483393245
2010,Shrubland,36.5082640343808,437423.483393245
2011,Shrubland,60.8798377472085,437423.483393245
2012,Shrubland,202.377188384291,437423.483393245
2013,Shrubland,29.9306197038727,437423.483393245
2014,Shrubland,2345.93225026133,437423.483393245
2015,Shrubland,8401.85001777419,437423.483393245
2016,Shrubland,5837.99303518907,437423.483393245
2017,Shrubland,0,437423.483393245
2018,Shrubland,392.1402408788,437423.483393245
2019,Shrubland,23.4231671756193,437423.483393245
2020,Shrubland,56.7739605969728,437423.483393245
2021,Shrubland,6506.80424033477,437423.483393245
2022,Shrubland,2577.21410870302,437423.483393245
1999,Grassland,3591.71411067367,342990.30319449
2000,Grassland,0,342990.30319449
2001,Grassland,0,342990.30319449
2002,Grassland,294.474375681153,342990.30319449
2003,Grassland,55.6610399847446,342990.30319449
2004,Grassland,1023.15430076761,342990.30319449
2005,Grassland,391.136865189036,342990.30319449
2006,Grassland,2726.2261138302,342990.30319449
2007,Grassland,0,342990.30319449
2008,Grassland,2232.75968625273,342990.30319449
2009,Grassland,578.47092374002,342990.30319449
2010,Grassland,0,342990.30319449
2011,Grassland,3.50147696465293,342990.30319449
2012,Grassland,82.5958936184087,342990.30319449
2013,Grassland,13.6007192018603,342990.30319449
2014,Grassland,903.725871667991,342990.30319449
2015,Grassland,1810.6793145642,342990.30319449
2016,Grassland,1077.79860778493,342990.30319449
2017,Grassland,25.4717382660547,342990.30319449
2018,Grassland,36.4184608261109,342990.30319449
2019,Grassland,0,342990.30319449
2020,Grassland,14.3312225869221,342990.30319449
2021,Grassland,4414.2819302967,342990.30319449
2022,Grassland,0,342990.30319449
