cca,Prommm,Decaim,haCorr,pc1,pc2,Altmed,Altdif,Pendmd,LLanuras,LomT,VallTot,Vp_Vt,Rugos,InsVer,InsEq,InsInv,PG,PF,PCR,CES,PR,PRL,R,RT,ndvip16,ndviv1617,ndvio17,ndvii17
1,8.20051277857019,0.172508382876442,58.3,2.7986476,-0.24190416,2196.1267,16.1090835524185,19.4032,4.53090786592555,39.9528381337376,42.5972713491663,44.9189402926058,9.9524,77.8585,59.0642,35.7999,11.1841,22.7388,7.1248,2.6444,31.1605,0.404261141990905,24.7431472123968,39.0326410645107,0.173826006464605,0.197224619955667,0.151747194622463,0.116050582491189
2,7.74314103279892,0.174964735227208,46,3.076848,1.25691531,2195.4205,14.8916375716446,16.4937,4.58636948135448,40.8486926703815,39.2841834547793,39.9345335515548,9.3917,75.8341,54.5253,30.8791,4.4793,16.1809,12.859,4.372,29.8328,1.47875306472353,30.7972306900986,45.1197342477497,0.155676407736638,0.191454799497648,0.148611630214039,0.101636660962881
3,8.60958228707685,0.202691553176948,45.5,1.1281187,-0.80011702,2220.2635,14.2319868798931,15.5059,4.38858116744781,40.4985087345548,38.8368129527056,38.1788261108064,9.82,78.9363,58.421,34.8709,25.6497,21.2399,5.5603,3.6855,18.726,0.490026544524925,24.6485081380486,33.0651214316148,0.190780246832029,0.217088079599509,0.163352916057581,0.123278409096495
4,5.99472738777016,0.255678128396322,48.8,-0.5332411,1.0732881,2131.9976,9.44787251617882,10.2053,13.0249543517955,37.3503753296815,34.0839926962873,20.4761904761905,5.8847,81.4962,59.8943,36.1061,35.7273,19.0099,3.733,5.4981,6.7965,0,29.2351208155813,31.1941103672144,0.172360177528541,0.202721370776231,0.149391432049111,0.115315624291187
5,2.38970940969086,0.318679412984418,44.6,-0.370842,-0.07896866,2144.3874,17.3696296988289,12.2915,12.007874015748,32.3490813648294,42.7384076990376,25.6908904810645,6.8025,81.7472,61.2614,37.5838,41.2073,25.8311,3.6308,2.7121,11.6579,0.131216797900262,14.829397287839,22.6275393700787,0.200281034652289,0.219978691507164,0.15262895306541,0.121642544244192
6,3.39212891023913,0.304029984507038,49.7,1.0770267,2.00822382,2106.3847,11.3478031272528,11.7018,10.4983257829427,37.2070120149695,30.8055938546386,17.7109974424552,5.9479,80.9244,59.5115,35.7227,11.6013,15.7573,9.4938,5.7909,17.6876,3.03327697459129,36.6358608824109,43.0710557415797,0.156679674902249,0.191417295415692,0.139880263212406,0.108088663906219
7,6.69348986531815,0.187167650163006,40.1,2.3720643,4.12478962,2084.2094,12.791245447561,11.5176,10.4345691136754,33.1451018904984,39.4794991406825,18.5945273631841,6.1945,77.8242,55.6678,31.8264,13.3563,7.7339,8.8632,1.6695,30.0761,1.42396349128407,36.8769904738522,46.3676749324822,0.140292698057755,0.1716477832548,0.123855969138749,0.0930010996238168
8,1.1843758487718,0.389752853806029,51.1,-0.8593882,0.65837676,2136.4756,8.25356472828986,10.2914,19.6108649585822,38.7208630321711,30.8418416490079,22.2985633978763,5.5323,79.9401,58.13,34.3404,39.2602,9.8632,5.3361,2.5621,14.6215,0,28.3567776536313,32.6589192833751,0.183476356958751,0.219255398431418,0.160621713845273,0.12226220504034
9,7.26218583133605,0.201687905443705,46.6,1.0057402,2.39548494,2075.5842,13.3305612282808,11.7281,11.1882229232387,38.4016824395373,33.2071503680336,25.2058264724509,6.4146,77.4938,55.4549,31.6658,23.5121,18.4227,8.5173,3.449,25.3207,0.567865930599369,20.210345320715,33.0486855941115,0.157557169813726,0.194136193395916,0.139971295268849,0.10300253558086
10,1.11576871151889,0.785109628409766,14.7,-1.4669159,-2.08883694,2146.3503,19.0398793799415,13.347,8.99328859060403,44.8322147651007,34.1610738255034,41.4538310412574,7.1154,76.5879,54.798,31.0765,51.8121,34.7651,3.2215,5.4362,3.4899,0.8054,0.469842281879195,9.83204026845638,0.198437811228714,0.251602803746336,0.179281646336275,0.128343907657677
