plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam
Miconia_ligustroides,Pitangus_sulphuratus,Allenspach_et_al._(2012),(a) Gulpers,11.78,16.35,5.715
Schinus_terebinthifolius,Tersina_viridis,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,36.67,15.2,5.1
Euterpe_edulis,Trogon_viridis,C?rtes_(2003),(a) Gulpers,10,23.5,13.3575
Euterpe_edulis,Turdus_rufiventris,Castro_(2003),(a) Gulpers,4,14.50625,13.3575
Copaifera_langsdorffii,Turdus_amaurochalinus,Motta-Jr_e_Lombardi_(1990),(a) Gulpers,2.8,12.48,9
Pera_glabrata,Leptotila_rufaxilla,Gondim_(2002),(a) Gulpers,4,8.642857143,3.7075
Euterpe_edulis,Turdus_flavipes,Castro_(2003),(a) Gulpers,30,13.21818182,13.3575
Myrsine_coriacea,Turdus_rufiventris,Blendinger,(a) Gulpers,2.8,14.50625,3.262
Euterpe_edulis,Trogon_viridis,Castro_(2003),(a) Gulpers,2.775,23.5,13.3575
Euterpe_edulis,Turdus_albicollis,Castro_(2003),(a) Gulpers,2.5,12.51891892,13.3575
Myrsine_coriacea,Turdus_rufiventris,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,24.864,14.50625,3.262
Myrsine_coriacea,Colaptes_melanochloros,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,23.17,12.4,3.262
Euterpe_edulis,Carpornis_cucullata,Castro_(2003),(a) Gulpers,21.501,16.3,13.3575
Myrsine_coriacea,Dryocopus_lineatus,Pascotto_(2007),(a) Gulpers,20,17.62,3.262
Euterpe_edulis,Turdus_amaurochalinus,Castro_(2003),(a) Gulpers,18.75,12.48,13.3575
Euterpe_edulis,Cyanocorax_caeruleus,Castro_(2003),(a) Gulpers,18.5,18.3,13.3575
Euterpe_edulis,Ramphastos_dicolorus,Castro_(2003),(a) Gulpers,17.267,30,13.3575
Euterpe_edulis,Turdus_flavipes,Castro_(2003),(a) Gulpers,18.5,13.21818182,13.3575
Myrsine_coriacea,Elaenia_obscura,Blendinger,(a) Gulpers,18.46,11.8125,3.262
Myrsine_coriacea,Mimus_saturninus,Pascotto_(2007),(a) Gulpers,16.93989071,12.15,3.262
Amomyrtella_guilii,Ramphastos_toco,Blendinger,(a) Gulpers,16.67,33.916,10.6
Myrsine_coriacea,Turdus_rufiventris,Pascotto_(2007),(a) Gulpers,15.65656566,14.50625,3.262
Euterpe_edulis,Trogon_viridis,Castro_(2003),(a) Gulpers,15.625,23.5,13.3575
Myrsine_coriacea,Turdus_leucomelas,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,14.82758621,14.1125,3.262
Myrsine_coriacea,Turdus_amaurochalinus,Pascotto_(2007),(a) Gulpers,14.65968586,12.48,3.262
Myrsine_coriacea,Turdus_leucomelas,Pascotto_(2007),(a) Gulpers,14.35897436,14.1125,3.262
Parthenocissus_quinquefolia,Sturnus_vulgaris,Malmborg_and_Willson,(a) Gulpers,14,14,5.6
Myrsine_coriacea,Colaptes_campestris,Pascotto_(2007),(a) Gulpers,13.84976526,18,3.262
Myrsine_laetevirens,Turdus_nigriceps,Blendinger,(a) Gulpers,13.76,13.5,5.6
Parthenocissus_quinquefolia,Colaptes_auratus,Malmborg_and_Willson,(a) Gulpers,13.3,11.2,5.6
Myrsine_coriacea,Pitangus_sulphuratus,Pascotto_(2007),(a) Gulpers,13.10344828,16.35,3.262
Miconia_chamissois,Colaptes_melanochloros,Am?ncio_&_Melo_(2008),(a) Gulpers,12.75,12.4,5.4
Eugenia_uniflora,Ramphastos_dicolorus,Colussi_e_Prestes_(2011),(a) Gulpers,12.5,30,18.95
Miconia_chamissois,Turdus_amaurochalinus,Am?ncio_&_Melo_(2008),(a) Gulpers,12.5,12.48,5.4
Myrsine_coriacea,Basileuterus_culicivorus,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,12.5,6.44,3.262
Parthenocissus_quinquefolia,Turdus_migratorius,Malmborg_and_Willson,(a) Gulpers,12.4,13,5.6
Vitis_vulpina,Turdus_migratorius,Malmborg_and_Willson,(a) Gulpers,12.3,13,9.8
Miconia_ligustroides,Turdus_leucomelas,Allenspach_et_al._(2012),(a) Gulpers,12.18421053,14.1125,5.715
Euterpe_edulis,Ramphastos_vitellinus,Castro_(2003),(a) Gulpers,12,29.7,13.3575
Myrsine_coriacea,Colaptes_melanochloros,Pascotto_(2007),(a) Gulpers,11.92982456,12.4,3.262
Parthenocissus_quinquefolia,Catharus_ustulatus,Malmborg_and_Willson,(a) Gulpers,11.7,11.1,5.6
Smilax_hispida,Catharus_minimus,Malmborg_and_Willson,(a) Gulpers,11.6,10.3,8.3
Vitis_vulpina,Sturnus_vulgaris,Malmborg_and_Willson,(a) Gulpers,11.6,14,9.8
Miconia_ligustroides,Cyanocorax_chrysops,Allenspach_et_al._(2012),(a) Gulpers,11.46875,19.5,5.715
Euterpe_edulis,Ramphastos_vitellinus,Castro_(2003),(a) Gulpers,11.42553191,29.7,13.3575
Ilex_paraguariensis,Saltator_similis,Colussi_e_Prestes_(2011),(b) Mashers,11.20689655,12.05,6.807
Miconia_chamissois,Turdus_rufiventris,Am?ncio_&_Melo_(2008),(a) Gulpers,11.17241379,14.50625,5.4
Euterpe_edulis,Penelope_obscura,Castro_(2003),(a) Gulpers,10.98901099,23,13.3575
Schinus_terebinthifolius,Turdus_amaurochalinus,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,10.95764273,12.48,5.1
Miconia_ligustroides,Trichothraupis_melanops,Allenspach_et_al._(2012),(b) Mashers,10.43478261,9.94,5.715
Schefflera_morototoni,Ramphastos_toco,Purifica??o_et_al._(2015),(a) Gulpers,10.37104072,33.916,9.2
Phoradendron_tucumanense,Euphonia_chlorotica,Di_Pauli,(b) Mashers,10.21,7.07,6.3
Miconia_albicans,Mimus_saturninus,Allenspach_e_Dias_(2012),(a) Gulpers,10.19811321,12.15,7.62
Phoradendron_ensifolium,Chlorospingus_ophthalmicus,Di_Pauli,(b) Mashers,10.19,9,6.3
Euterpe_edulis,Turdus_albicollis,Castro_(2003),(a) Gulpers,10,12.51891892,13.3575
Myrsine_coriacea,Turdus_leucomelas,Francisco_e_Galetti_(2001),(a) Gulpers,10,14.1125,3.262
Ocotea_corymbosa,Myiodynastes_maculatus,Gondim_(2002),(a) Gulpers,10,15.92,5.7
Vitis_vulpina,Colaptes_auratus,Malmborg_and_Willson,(a) Gulpers,10,11.2,9.8
Xylopia_sericea,Thraupis_palmarum,Correia_(1997),(b) Mashers,10,12,7.4
Myrsine_coriacea,Cyanocorax_chrysops,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,9.978873239,19.5,3.262
Myrsine_coriacea,Zonotrichia_capensis,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,9.787401575,9,3.262
Myrsine_coriacea,Tyrannus_melancholicus,Pascotto_(2007),(a) Gulpers,9.615384615,14.63333333,3.262
Miconia_albicans,Tangara_cayana,Allenspach_e_Dias_(2012),(b) Mashers,9.487804878,8.65,7.62
Schinus_terebinthifolius,Mimus_saturninus,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,9.418699187,12.15,5.1
Myrsine_coriacea,Celeus_flavescens,Correia_(1997),(a) Gulpers,9.361702128,15.75,3.262
Myrsine_coriacea,Tangara_desmaresti,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,9.302325581,7.6,3.262
Pera_glabrata,Piranga_flava,Francisco_et_al._(2007),(b) Mashers,9.202453988,11.7,3.7075
Cupania_oblongifolia,Turdus_amaurochalinus,Correia_(1997),(a) Gulpers,9.090909091,12.48,11
Euterpe_edulis,Tachyphonus_coronatus,Castro_(2003),(b) Mashers,9.090909091,9.77,13.3575
Myrsine_laetevirens,Elaenia_obscura,Blendinger,(a) Gulpers,9.09,11.8125,5.6
Allophylus_edulis,Turdus_rufiventris,Blendinger,(a) Gulpers,9.05,14.50625,9.533
Myrsine_coriacea,Chlorospingus_ophthalmicus,Blendinger,(b) Mashers,9,9,3.262
Ilex_paraguariensis,Tyrannus_melancholicus,Colussi_e_Prestes_(2011),(a) Gulpers,8.888888889,14.63333333,6.807
Myrsine_coriacea,Tersina_viridis,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,8.846153846,15.2,3.262
Myrsine_coriacea,Chiroxiphia_caudata,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,8.630952381,11.08787879,3.262
Viscum_album,Turdus_philomelos,Mellado_and_Zamora,(a) Gulpers,8.61,13.3,7.5
Schinus_terebinthifolius,Pyrrhura_frontalis,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,8.540103866,13.5,5.1
Myrsine_coriacea,Camptostoma_obsoletum,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,8.510638298,7.08125,3.262
Miconia_ligustroides,Mimus_saturninus,Allenspach_et_al._(2012),(a) Gulpers,8.495192308,12.15,5.715
Euterpe_edulis,Ramphastos_vitellinus,C?rtes_(2003),(a) Gulpers,8.46031746,29.7,13.3575
Pera_glabrata,Colaptes_melanochloros,Francisco_et_al._(2007),(a) Gulpers,8.18452381,12.4,3.7075
Phoradendron_tucumanense,Chlorospingus_ophthalmicus,Di_Pauli,(b) Mashers,8.16,9,6.3
Miconia_chamissois,Pitangus_sulphuratus,Am?ncio_&_Melo_(2008),(a) Gulpers,8.092877642,16.35,5.4
Aralia_soratensis,Turdus_rufiventris,Blendinger,(a) Gulpers,8.05,14.50625,7.4
Myrsine_coriacea,Catharus_ustulatus,Blendinger,(a) Gulpers,8.02,11.1,3.262
Miconia_chamissois,Coereba_flaveola,Am?ncio_&_Melo_(2008),(b) Mashers,8,5.922222222,5.4
Miconia_ligustroides,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,8,14.1125,5.715
Phoradendron_tucumanense,Turdus_rufiventris,Di_Pauli,(a) Gulpers,7.94,14.50625,6.3
Euterpe_edulis,Turdus_rufiventris,Castro_(2003),(a) Gulpers,7.894736842,14.50625,13.3575
Miconia_albicans,Thraupis_sayaca,Allenspach_e_Dias_(2012),(b) Mashers,7.847953216,12,7.62
